comment,product_id,rating,reviewer,sku,submissionTime,title
This charger works great to charge our Wii remotes. It is compact and is not an eye sore in our living room!,34383252,5,LawStudent,9719903,8/4/14 18:52,Great Charger
"this band deserves more attention, they have not released a bad disc yet.",34383240,5,d44505,8545906,8/4/14 18:52,one of their best releases
Bought this for a child's room to play videos. Easy to set up and use.,34383231,4,tropicalstorm,4790684,8/4/14 18:50,Bought for child's room
The ink works great in my printer! It lasts for a long time!,34383219,5,LawStudent,1146635,8/4/14 18:50,Acceptable Ink
great band who constantly releases excellent music,34383213,5,d44505,2514297,8/4/14 18:49,great cd by a great band
"I love this tv--perfect ize, great picture, great features. Cannot go wrong with this. I was always a ""Sony Snob"" but Vizio won we over with this one.",34383132,5,tropicalstorm,4498002,8/4/14 18:42,Great TV for my den
We really like our new Apple Mac computer. It's pretty easy to learn the Mac system.,34383131,4,Jhull,5852008,8/4/14 18:42,Great computer. First time Apple computer owner.
I bought this for my son for video games and movies and it is working well.,34383124,5,yuyu4,2992002,8/4/14 18:41,good for video games
"I like this laptop very fast and nice looking,sufficient for regular use",34383034,5,linuxra,6941972,8/4/14 18:36,Nice Laptop
XL package with the benefits of a regular package. Ink ran out sooner than expected.,34383016,3,Rick,4017043,8/4/14 18:35,Not recommend for big projects
"I listen to a lot of different types of music and enjoy watching movies on my mac. These sound good but hurt my ears really bad after a while. It may be important to note that I have my helix pierced in both ears. I am looking for comfort and these aren't it, therefore I am considering a pair of Sennheiser over the ear headphones.",34383003,1,doglover30,9262053,8/4/14 18:34,not comfortable
I love this cable so far as it's constructed well and seems to be durable so far. Other cables I've had seem to get broken wires inside easily. This one seems to be holding up well for storage and daily usage combined. Great product.,34383002,4,Truckerbyday,2540042,8/4/14 18:34,Works great!
XL package with the benefits of a regular package. Ink ran out sooner than expected.,34382999,3,Rick,3031975,8/4/14 18:34,Good for small projects
This tablet was highly responsive and worked immediately with my graphic design software.,34382966,5,maci7,1680794,8/4/14 18:32,Great for Graphic Artist
XL package with the benefits of a regular package. Ink ran out sooner than expected.,34382963,3,Rick,4017052,8/4/14 18:32,Ink ran out too soon
XL package with the benefits of a regular package. Ink ran out sooner than expected.,34382947,3,Rick,4017089,8/4/14 18:31,XL package with regular benefits
I was expecting more. The Cast seemed to be funnier than what I saw. It happens all the time.,34382863,2,BHRivera,1380624,8/4/14 18:26,Dissapointed
Great device for a busy individual but doesn't get all dust.,34382862,4,Rick,5768586,8/4/14 18:25,Great device for a busy person.
Very satisfied with Tech 21 products. Great price with super design for kids with IPhones. Provides great protection and looks great. I am buying one for when IPhone 6 is available.,34382828,5,Lauren,6218061,8/4/14 18:22,Great IPhone case at a Great price for protection
great looking screen and really bright and so thin!,34423360,5,BluPrint,4751006,8/5/14 22:43,Good Enough for my Interior Design work!
"This is a good product, easy to use with micro card.",34423294,5,,5577759,8/5/14 22:29,good product
"Like the machine, size is perfect, replacement tape is a bit high in price, but happy to have it.",34423281,5,Rossiterrelo,8837878,8/5/14 22:26,Machine works great
It's worth for the price. It does the job beautifully. I love it.,34423147,4,lingling,1310203266,8/5/14 22:07,Great Sweeper
The beats headphones are perfect for me. I love them.,34423101,5,ampriza,5909103,8/5/14 22:00,great
I got this for my Samsung S5 Active and it fits and works perfectly. It was great to have the extra space for the hundreds of pictures I take when travelling.,34423087,5,mgjgool,3142599,8/5/14 21:58,perfect fit
Excellent picture quality at a low price. Why buy Sony when you can have Samsung?,34423066,4,DB4564,3814189,8/5/14 21:55,Inexpensive with Samsung quality
This is one of my favorite movies. The story is absolutely great.,34423045,5,Burd4,8783836,8/5/14 21:54,Great movie
This is a good game to play. You may need to look up the storyline if you have not played the previous games.,34423030,5,Burd4,8719899,8/5/14 21:51,Great game
Original filter that came with the refrigerator lasted exactly 6 months.,34423017,4,DB4564,9679744,8/5/14 21:49,Easy to install filter for Frigidaire refrigerator
"This is a good movie to watch once, but only once. I can't see myself watching it again.",34423008,3,Burd4,7388348,8/5/14 21:48,Just an okay movie
I got this for 10 bucks and the movie isn't great but its worth it for the price,34423002,3,Josehs,8869078,8/5/14 21:47,good movie for the price
Great game. I recommend this game to any gamers. You will need to look up the story line if you have not played before.,34422996,5,Burd4,5223234,8/5/14 21:46,Great Game
I'm hooked on the Sonos system. Very expensive but worth the sound and exceptional software.,34422972,4,DB4564,1648801,8/5/14 21:44,Good speaker for small room
Awesome tv. nice size and picture is perfect. I have the same tv for my bedroom and family room just a variation in size. I love vizio top quality stuff,34422947,5,ElectronicGuy,8768104,8/5/14 21:42,Awesome tv by vizio
